rank,service_number,first_name,last_name,date_of_award,country,aircraft_type,flight_hours,flight_missions,flight_awards
Major,3956946,Elsi,Samett,6/15/2022,Brazil,A-10,9751,608,Air Force Commendation Medal
Private,7450386,Olav,Smithson,4/4/2023,China,A-10,4330,352,Air Medal
Lieutenant,4133509,Thorin,Dineges,12/31/2022,Indonesia,A-10,9695,869,Distinguished Flying Cross
Major,6058542,Demetra,Montacute,10/3/2022,United States,F-18,7802,205,Distinguished Flying Cross
Colonel,2882162,Paco,Beneze,12/27/2022,Indonesia,A-10,7594,528,Air Force Achievement Medal
Major,3988401,Haley,Mila,2/12/2023,United Arab Emirates,F-16,9105,117,Air Force Achievement Medal
Major,6082321,Salome,Tethacot,5/10/2022,Micronesia,A-10,9068,828,Distinguished Flying Cross
Colonel,2326084,Reuben,Clemo,3/17/2023,United States,F-18,5104,305,Air Force Achievement Medal
Lieutenant,8605880,Kendra,Mendez,12/12/2022,Brazil,F-22,1347,330,Distinguished Flying Cross
Captain,8563547,Ethel,Batterham,6/2/2022,New Zealand,F-16,4870,83,Air Medal
Lieutenant,7614293,Debbie,Daughtery,8/16/2022,Indonesia,F-18,1272,591,Air Force Achievement Medal
Sergeant,2443832,Lucinda,Rosenwald,2/4/2023,Poland,A-10,151,696,Distinguished Flying Cross
General,7921264,Natalee,Cudde,12/15/2022,Indonesia,A-10,9812,632,Distinguished Flying Cross
Captain,7899430,Phoebe,Jiggens,2/19/2023,Sweden,F-16,78,444,Air Medal
Lieutenant,8116800,Rorie,Scandroot,6/7/2022,Colombia,F-35,2168,754,Air Medal
General,7267237,Lorita,Duffell,4/28/2022,Philippines,F-16,7452,663,Air Medal
Corporal,3435096,Olenolin,Hands,10/30/2022,Sweden,F-16,39,347,Air Force Achievement Medal
Private,8468571,Olympie,Larive,12/9/2022,Venezuela,F-16,5693,513,Air Force Achievement Medal
General,7620440,Finley,Simmen,7/30/2022,Japan,A-10,7644,360,Air Medal
Lieutenant,1942743,Valaree,Blum,8/12/2022,China,F-22,8387,18,Air Medal
Colonel,4153777,Geneva,Barsby,1/24/2023,Serbia,F-35,8068,224,Air Force Achievement Medal
Sergeant,7494768,Donny,Bulfit,10/23/2022,Russia,A-10,5197,454,Air Force Commendation Medal
Major,1295175,Emeline,Commings,9/2/2022,China,F-22,688,445,Distinguished Flying Cross
Sergeant,2118463,Jodi,Giacoboni,5/31/2022,Panama,F-22,7545,506,Distinguished Flying Cross
Sergeant,9749429,Katy,Germain,4/21/2022,China,F-22,4974,492,Air Force Commendation Medal
Major,3548229,Jake,Muglestone,6/29/2022,Democratic Republic of the Congo,F-35,2276,854,Air Medal
Lieutenant,3169136,Camala,Peasey,5/19/2022,Russia,F-35,7901,414,Air Force Commendation Medal
Major,2279055,Celina,Kenworthy,7/9/2022,Indonesia,F-16,1073,582,Distinguished Flying Cross
Corporal,9622406,Denys,Ahlin,1/3/2023,Poland,F-18,5477,372,Air Force Achievement Medal
General,6561092,Alta,Jeroch,6/9/2022,China,A-10,1322,925,Distinguished Flying Cross
Captain,8309704,Sheilakathryn,Kitto,7/20/2022,Sweden,F-18,7118,120,Air Force Commendation Medal
Captain,9420998,Billie,Willment,1/26/2023,Philippines,F-16,3776,640,Distinguished Flying Cross
Colonel,3547098,Ericka,Boots,7/4/2022,China,F-35,3154,627,Air Force Achievement Medal
Lieutenant,8031773,Coreen,Treat,11/25/2022,China,F-18,6106,335,Distinguished Flying Cross
General,3286588,Rennie,Foulks,12/12/2022,Pakistan,F-35,592,369,Air Medal
Lieutenant,1311437,Twyla,New,10/15/2022,Poland,F-22,5720,714,Air Medal
Sergeant,7686477,Ariela,McGucken,4/17/2022,Greece,F-35,7760,554,Distinguished Flying Cross
Private,9351473,Renie,Saenz,8/20/2022,Kazakhstan,F-22,1294,936,Distinguished Flying Cross
Major,3021567,Albertina,Hufton,2/8/2023,Italy,A-10,3705,978,Air Force Commendation Medal
Major,1684473,Jamesy,Goslin,9/11/2022,Egypt,F-16,3769,389,Air Force Achievement Medal
Lieutenant,2181966,Pip,Golbourn,4/29/2022,China,A-10,69,323,Air Force Commendation Medal
Lieutenant,9461249,Judas,Goodlud,11/28/2022,United States,A-10,3671,770,Air Medal
Colonel,5488627,Esra,Daingerfield,4/9/2023,Argentina,F-22,4796,319,Air Medal
Colonel,1337633,Reginauld,Berkely,7/14/2022,Nepal,F-35,6429,124,Distinguished Flying Cross
Private,5268055,Ethelbert,Anespie,10/7/2022,Poland,A-10,620,982,Air Force Commendation Medal
Captain,6572821,Gran,Flowers,1/31/2023,China,F-18,4763,654,Air Force Achievement Medal
Major,9920005,Hurley,Behrendsen,2/18/2023,China,F-18,8239,617,Air Force Achievement Medal
Major,7459434,Giorgi,Nation,3/15/2023,Cameroon,F-35,920,319,Air Medal
Private,9558190,Korry,Seage,5/25/2022,Malaysia,F-22,3214,508,Air Force Achievement Medal
Major,5106902,Edithe,Fyers,2/21/2023,China,F-16,6560,956,Distinguished Flying Cross
Lieutenant,1370804,Malchy,Asel,7/1/2022,China,F-16,4172,233,Distinguished Flying Cross
Private,1263895,Korney,Wodeland,3/10/2023,Bulgaria,F-22,1034,539,Distinguished Flying Cross
Colonel,1142269,Jerrilee,Braybrooke,7/17/2022,Russia,A-10,9209,165,Air Medal
Major,5089044,Case,Levy,12/22/2022,Russia,F-35,9992,222,Air Force Achievement Medal
Sergeant,3708060,Bennett,Marty,4/3/2023,Philippines,F-16,5620,3,Air Force Achievement Medal
Sergeant,4239643,Carry,Moubray,2/9/2023,Ethiopia,A-10,3254,366,Air Medal
Private,9728583,Shurlocke,Gulliford,7/24/2022,Poland,A-10,8806,773,Air Force Achievement Medal
Lieutenant,2260622,Maurise,Iacovielli,3/30/2023,China,A-10,7880,142,Air Force Commendation Medal
Private,2639431,Alisha,Brumfield,1/20/2023,Philippines,F-18,7457,112,Air Medal
Lieutenant,4656721,Albina,Hick,4/16/2022,Indonesia,F-35,361,473,Air Force Commendation Medal
General,2757278,Yevette,Stuttman,6/30/2022,Switzerland,A-10,6167,163,Distinguished Flying Cross
Major,2942102,Doralin,Blatcher,3/28/2023,Central African Republic,F-18,2931,403,Distinguished Flying Cross
